Designator,Mid X,Mid Y,Rotation,Layer
C1,-8.01,-81.92,0.0,top
C10,42.13,-39.5,270.0,top
C11,36.2,-16.77,90.0,top
C12,32.87,-52.87,90.0,top
C15,2.41,-8.98,180.0,top
C16,-7.59,-75.22,180.0,top
C17,4.42,-55.42,90.0,top
C2,1.68,-81.88,180.0,top
C20,48.9425,-39.5,270.0,top
C21,51.2925,-39.5,270.0,top
C22,28.13,-74.0875,90.0,top
C23,25.9,-74.1075,90.0,top
C25,30.27,-74.0975,90.0,top
C26,44.54,-74.1175,90.0,top
C27,46.63,-74.1275,90.0,top
C28,48.75,-74.1275,90.0,top
C29,50.86,-74.1375,90.0,top
C3,41.1,-31.975,180.0,top
C30,35.21,-48.2725,90.0,top
C31,35.21,-44.5225,90.0,top
C48,-0.53,-29.68,0.0,top
C49,-0.53,-25.55,0.0,top
C50,-0.53,-21.52,0.0,top
C51,-0.53,-17.49,0.0,top
C52,-0.53,-27.58,0.0,top
C53,-0.53,-23.52,0.0,top
C54,-0.53,-19.51,0.0,top
C55,-0.53,-15.46,0.0,top
C56,2.67,-12.21,90.0,top
C57,25.38,-14.56,270.0,top
C58,25.33,-21.9225,270.0,top
C59,27.48,-21.9425,270.0,top
C61,35.32,-52.8125,90.0,top
C9,4.275,0.3,90.0,top
D1,6.41,-9.1,180.0,top
D2,-2.17,-51.47,0.0,top
D3,2.91,-51.85,180.0,top
D4,32.87,-17.09,0.0,top
D5,36.63,-71.15,180.0,top
D6,13.525,-0.95,90.0,top
D7,15.3,-0.975,90.0,top
D8,-9.245,-55.87,180.0,top
D9,-15.8475,-74.95,180.0,top
J1,-20.405,-50.95,270.0,top
J11,-18.2,-19.37,270.0,top
J12,-15.57,-37.04,270.0,top
J14,-13.7625,-65.5475,270.0,top
J5,36.2955,-43.69,90.0,top
L2,27.27,-15.03,90.0,top
Q1,1.36,-79.45,0.0,top
Q11,-6.84,-12.615,270.0,top
Q12,43.805,-13.055,0.0,top
Q13,-5.81,-9.79,90.0,top
Q14,26.98,-17.9,90.0,top
Q2,-7.88,-79.43,180.0,top
Q3,46.605,-13.055,0.0,top
Q4,49.405,-13.055,180.0,top
Q6,59.0,-66.2,90.0,top
Q7,56.45,-66.2,90.0,top
Q8,32.89,-21.7725,0.0,top
R100,-10.65,-52.875,0.0,top
R101,-10.45,-48.0,0.0,top
R12,42.14,-9.655,90.0,top
R13,4.76,-79.75,90.0,top
R14,48.575,-9.655,270.0,top
R15,-11.25,-79.74,270.0,top
R16,44.135,-9.655,270.0,top
R18,8.55,-31.75,180.0,top
R19,46.127,-9.655,270.0,top
R20,49.355,-15.345,180.0,top
R21,9.32,-10.53,270.0,top
R22,6.6625,-51.85,0.0,top
R23,40.17,-71.19,0.0,top
R24,2.95,-74.79,270.0,top
R25,44.0,-61.2,270.0,top
R26,46.0,-61.2,270.0,top
R27,48.0,-61.2,270.0,top
R28,50.0,-61.2,270.0,top
R29,42.0,-61.2,270.0,top
R3,-2.88,-79.675,270.0,top
R30,40.0,-61.2,270.0,top
R32,56.4134,-62.97,270.0,top
R33,0.86,-74.78,270.0,top
R34,-1.22,-74.78,270.0,top
R35,7.37,-42.76,270.0,top
R37,58.95,-62.99,270.0,top
R38,-3.29,-74.7892,270.0,top
R39,-19.47,-75.21,180.0,top
R40,-12.71,-55.9,0.0,top
R59,-5.8,-15.5,180.0,top
R60,-5.8,-17.46,180.0,top
R61,-5.78,-19.52,180.0,top
R62,-5.7875,-21.48,180.0,top
R63,-5.8,-23.52,180.0,top
R64,-5.8,-25.55,180.0,top
R65,-5.7875,-27.58,180.0,top
R66,-5.8,-29.68,180.0,top
R71,0.57,-12.21,90.0,top
R72,-1.49,-12.21,90.0,top
R77,-9.38,-12.1,90.0,top
R78,-11.53,-12.1,90.0,top
R79,32.57,-25.41,180.0,top
R8,23.79,-74.06,90.0,top
R80,-3.61,-12.2,270.0,top
R81,29.56,-17.07,270.0,top
R82,36.45,-21.9025,90.0,top
R83,29.79,-21.9325,270.0,top
R9,-4.99,-79.65,90.0,top
TR3,0.211,-65.1825,180.0,top
U3,41.1625,-46.4225,180.0,top
U4,41.17,-54.12,180.0,top
